Total number of words: 488
Total number of lines: 58
Word count per line (line_number >> word_count):
Line 1 >> 14 words
Line 2 >> 19 words
Line 3 >> 19 words
Line 4 >> 0 words
Line 5 >> 23 words
Line 6 >> 19 words
Line 7 >> 16 words
Line 8 >> 9 words
Line 9 >> 0 words
Line 10 >> 16 words
Line 11 >> 21 words
Line 12 >> 26 words
Line 13 >> 0 words
Line 14 >> 17 words
Line 15 >> 22 words
Line 16 >> 19 words
Line 17 >> 0 words
Line 18 >> 18 words
Line 19 >> 21 words
Line 20 >> 10 words
Line 21 >> 0 words
Line 22 >> 19 words
Line 23 >> 22 words
Line 24 >> 6 words
Line 25 >> 0 words
Line 26 >> 20 words
Line 27 >> 22 words
Line 28 >> 21 words
Line 29 >> 0 words
Line 30 >> 5 words
Line 31 >> 3 words
Line 32 >> 3 words
Line 33 >> 3 words
Line 34 >> 3 words
Line 35 >> 3 words
Line 36 >> 3 words
Line 37 >> 3 words
Line 38 >> 3 words
Line 39 >> 3 words
Line 40 >> 3 words
Line 41 >> 3 words
Line 42 >> 3 words
Line 43 >> 3 words
Line 44 >> 3 words
Line 45 >> 3 words
Line 46 >> 3 words
Line 47 >> 3 words
Line 48 >> 3 words
Line 49 >> 3 words
Line 50 >> 3 words
Line 51 >> 3 words
Line 52 >> 3 words
Line 53 >> 3 words
Line 54 >> 3 words
Line 55 >> 3 words
Line 56 >> 3 words
Line 57 >> 3 words
Line 58 >> 3 words
